Year,GeoAreaName,Activity,Value
2009,Albania,ISIC4_C,25.83
2010,Albania,ISIC4_C,22.29
2011,Albania,ISIC4_C,23.43
2012,Albania,ISIC4_C,21.19
2013,Albania,ISIC4_C,21.05
2019,Albania,ISIC4_C,17.21
2020,Albania,ISIC4_C,17.37
2000,Austria,ISIC3_D,11.16
2001,Austria,ISIC3_D,11.9
2002,Austria,ISIC3_D,11.4
2003,Austria,ISIC3_D,11.86
2004,Austria,ISIC3_D,11.5
2005,Austria,ISIC4_C,10.45
2006,Austria,ISIC4_C,10.19
2007,Austria,ISIC4_C,9.87
2008,Austria,ISIC4_C,8.64
2009,Austria,ISIC4_C,9.23
2010,Austria,ISIC4_C,8.75
2011,Austria,ISIC4_C,8.47
2012,Austria,ISIC4_C,8.35
2013,Austria,ISIC4_C,8.57
2014,Austria,ISIC4_C,8.54
2015,Austria,ISIC4_C,8.19
2016,Austria,ISIC4_C,7.91
2017,Austria,ISIC4_C,7.91
2018,Austria,ISIC4_C,7.35
2019,Austria,ISIC4_C,7.36
2020,Austria,ISIC4_C,7.64
2017,Armenia,ISIC4_C,12.15
2000,Belgium,ISIC3_D,9.51
2001,Belgium,ISIC3_D,10.37
2003,Belgium,ISIC3_D,11.51
2004,Belgium,ISIC3_D,9.81
2005,Belgium,ISIC4_C,9.53
2006,Belgium,ISIC4_C,8.97
2007,Belgium,ISIC4_C,10.0
2008,Belgium,ISIC4_C,10.67
2009,Belgium,ISIC4_C,11.18
2010,Belgium,ISIC4_C,10.24
2011,Belgium,ISIC4_C,9.92
2012,Belgium,ISIC4_C,9.7
2013,Belgium,ISIC4_C,8.97
2014,Belgium,ISIC4_C,9.5
2015,Belgium,ISIC4_C,8.94
2016,Belgium,ISIC4_C,9.13
2017,Belgium,ISIC4_C,9.41
2018,Belgium,ISIC4_C,7.4
2019,Belgium,ISIC4_C,8.97
2020,Belgium,ISIC4_C,7.83
2015,Bosnia and Herzegovina,ISIC4_C,15.22
2016,Bosnia and Herzegovina,ISIC4_C,15.07
2017,Bosnia and Herzegovina,ISIC4_C,11.79
2018,Bosnia and Herzegovina,ISIC4_C,11.39
2019,Bosnia and Herzegovina,ISIC4_C,11.13
2020,Bosnia and Herzegovina,ISIC4_C,11.57
2002,Bulgaria,ISIC3_D,9.09
2003,Bulgaria,ISIC3_D,9.67
2004,Bulgaria,ISIC3_D,8.36
2005,Bulgaria,ISIC4_C,7.87
2006,Bulgaria,ISIC4_C,8.49
2007,Bulgaria,ISIC4_C,8.96
2008,Bulgaria,ISIC4_C,11.32
2009,Bulgaria,ISIC4_C,11.73
2010,Bulgaria,ISIC4_C,10.13
2011,Bulgaria,ISIC4_C,9.19
2012,Bulgaria,ISIC4_C,10.16
2013,Bulgaria,ISIC4_C,10.32
2014,Bulgaria,ISIC4_C,10.07
2015,Bulgaria,ISIC4_C,10.16
2016,Bulgaria,ISIC4_C,9.42
2017,Bulgaria,ISIC4_C,9.27
2018,Bulgaria,ISIC4_C,10.16
2019,Bulgaria,ISIC4_C,10.26
2020,Bulgaria,ISIC4_C,10.83
2016,Belarus,ISIC4_C,4.01
2017,Belarus,ISIC4_C,2.88
2018,Belarus,ISIC4_C,2.57
2019,Belarus,ISIC4_C,4.37
2020,Belarus,ISIC4_C,3.3
2009,Croatia,ISIC4_C,15.88
2010,Croatia,ISIC4_C,15.32
2011,Croatia,ISIC4_C,14.17
2012,Croatia,ISIC4_C,13.87
2013,Croatia,ISIC4_C,15.16
2014,Croatia,ISIC4_C,15.44
2015,Croatia,ISIC4_C,15.48
2016,Croatia,ISIC4_C,13.93
2017,Croatia,ISIC4_C,14.59
2018,Croatia,ISIC4_C,14.52
2019,Croatia,ISIC4_C,14.86
2020,Croatia,ISIC4_C,14.66
2000,Cyprus,ISIC3_D,39.9
2001,Cyprus,ISIC3_D,38.47
2002,Cyprus,ISIC3_D,37.99
2003,Cyprus,ISIC3_D,39.27
2004,Cyprus,ISIC3_D,39.67
2005,Cyprus,ISIC4_C,38.44
2006,Cyprus,ISIC4_C,38.9
2007,Cyprus,ISIC4_C,37.66
2008,Cyprus,ISIC4_C,38.42
2009,Cyprus,ISIC4_C,38.11
2010,Cyprus,ISIC4_C,36.88
2011,Cyprus,ISIC4_C,37.72
2012,Cyprus,ISIC4_C,36.73
2013,Cyprus,ISIC4_C,36.27
2014,Cyprus,ISIC4_C,35.36
2015,Cyprus,ISIC4_C,34.49
2016,Cyprus,ISIC4_C,33.26
2017,Cyprus,ISIC4_C,31.58
2018,Cyprus,ISIC4_C,30.72
2019,Cyprus,ISIC4_C,29.59
2020,Cyprus,ISIC4_C,29.14
2000,Czechia,ISIC3_D,9.64
2001,Czechia,ISIC3_D,7.89
2002,Czechia,ISIC3_D,13.23
2003,Czechia,ISIC3_D,12.79
2004,Czechia,ISIC3_D,12.03
2005,Czechia,ISIC4_C,13.33
2006,Czechia,ISIC4_C,14.06
2007,Czechia,ISIC4_C,12.63
2008,Czechia,ISIC4_C,12.85
2009,Czechia,ISIC4_C,12.77
2010,Czechia,ISIC4_C,11.06
2011,Czechia,ISIC4_C,10.98
2012,Czechia,ISIC4_C,10.82
2013,Czechia,ISIC4_C,10.25
2014,Czechia,ISIC4_C,9.68
2015,Czechia,ISIC4_C,10.04
2016,Czechia,ISIC4_C,9.59
2017,Czechia,ISIC4_C,9.9
2018,Czechia,ISIC4_C,10.19
2019,Czechia,ISIC4_C,10.37
2020,Czechia,ISIC4_C,10.41
2000,Denmark,ISIC3_D,12.43
2001,Denmark,ISIC3_D,12.03
2002,Denmark,ISIC3_D,11.8
2003,Denmark,ISIC3_D,12.13
2004,Denmark,ISIC3_D,12.01
2005,Denmark,ISIC4_C,11.24
2006,Denmark,ISIC4_C,11.33
